职位名称,公司名,地点,薪资
Python开发工程师,大连必捷必信息技术有限公司,大连-高新园区,0.8-1.5万/月
软件工程师（Python）,珠海市运泰利自动化设备有限公司,珠海,0.8-1.5万/月
Python开发工程师,大连铭信科技发展有限公司,大连-高新园区,0.8-1.3万/月
后端开发工程师（Python方向）,中金智汇科技有限责任公司,北京-大兴区,1-2万/月
Python高级开发工程师,山东便客信息科技有限公司,济南-市中区,0.7-1.4万/月
python web后台开发,繁翰信息技术（上海）有限公司,上海-长宁区,0.6-1.5万/月
Python开发工程师,深圳神木源科技有限公司,深圳-龙华新区,6-8千/月
python课程设计师,武汉市英才世家教育科技有限公司,武汉,5-7千/月
Python软件工程师,成都市鹰诺实业有限公司深圳分公司...,深圳,1.5-2万/月
python后台开发工程师,上海嘉柒智能科技有限公司,上海,1-1.5万/月
Python开发工程师,广州优视电子有限责任公司,广州-番禺区,0.5-1.2万/月
运维开发工程师（Python开发）,上海钢银电子商务股份有限公司,上海,2.5-4万/月
Python开发工程师,浙江中建网络科技股份有限公司,杭州-滨江区,1-1.5万/月
Python语言培训讲师,烟台炬龙文化传媒有限公司,烟台,6-8千/月
Python开发工程师3,深圳神木源科技有限公司,深圳-福田区,6-8千/月
